appellation,pente,altitude,exposition,nb_parcelles,surface_ha
Côtes d'Auvergne,4.731179801793298,411.70835299669653,336.97147790520984,2119.0,240487.23030351152
Côtes de Duras,3.9119879353597438,89.20393299254799,201.3153007967046,3477.0,4872622.84025883
Côtes de Provence,3.4935599289611288,157.80755616084943,159.32904690369307,11385.0,22575956.602377124
Côtes du Forez,5.687017868145409,508.84473197781887,98.75723476604702,3246.0,0.3246
Côtes du Jura,3.5819084917752844,267.24146280834776,241.4352315776885,3411.0,1047190.6235358169
Côtes du Marmandais,3.4707160918290754,64.61251465026322,193.62728244557908,4441.0,3091079.4559800257
Côtes du Rhône,2.9819255949838226,174.10934374022185,215.35820392678687,42723.0,93656456.95168367
Entraygues - Le Fel,12.141879084967321,572.7132352941177,185.3077732430844,1224.0,557406.3807450526
Fiefs Vendéens,2.303278592375367,35.814662756598246,176.8921694599026,1705.0,249337.28033544568
Fronton,1.1569929950402449,137.26884682768156,54.85227684338712,3699.0,9997604.72438826
Gaillac,3.3267566717487034,191.39932943037007,170.49300263983503,10470.0,12904548.85981314
Grand Roussillon,6.341560075093665,207.06983811325762,137.19598427540217,1669.0,5184289.114191361
Grignan-les-Adhémar,2.294779135338346,178.54887218045113,213.0239768571493,2128.0,878420.8047611206
Gros Plant du Pays Nantais,1.5283177461853492,38.699770383111925,239.85128167732046,6649.0,7527135.606143603
Languedoc,3.7653276249057,100.25506821328337,144.35948820914882,89626.0,104781234.56518607
Luberon,4.178463298796071,305.7192318144296,193.45303379360192,6295.0,12040811.00730904
Malepère,4.294963806552056,179.7528919579123,170.09726597195012,5429.0,2943721.724681752
Muscadet,2.09533457063728,78.11632797510762,226.7415851016563,5230.0,2901097.825361531
Muscat du Cap Corse,8.261139240506331,84.62658227848102,83.80491822553309,158.0,202877.100926255
Orléans,0.4878585995921142,92.93609789259007,306.54101798783506,1471.0,0.1471
Pierrevert,3.443379310344828,338.93793103448286,149.66057883893603,1160.0,986105.0797493476
Pouilly-Fumé ou Blanc Fumé de Pouilly,2.4193076923076924,185.68230769230766,274.8783576344178,1300.0,1002318.3883803631
Roussette de Savoie,6.15275424992544,450.1236206382344,200.7593903865098,6706.0,0.6706
Roussette du Bugey,8.26894018887723,366.89926547743966,252.59830786585192,953.0,0.0953
Sable de Camargue,0.30558912386706943,2.143504531722054,329.56622273498846,662.0,1222495.1119020374
Saint-Joseph,3.537843601895734,278.9917061611374,144.7531678252809,844.0,0.0844
Saint-Mont,5.099081642957054,155.1206802990872,187.90608904359232,7549.0,5606395.98914961
Saint-Pourçain,2.136486356519983,272.5466573569605,123.45071868510318,3165.0,995062.3048848461
Saint-Sardos,4.335165014303099,160.38040263972897,140.72538729789045,3522.0,2881799.6599865793
Sancerre,5.904475831364873,250.2957657797022,144.1070161046116,4773.0,3619701.699023149
Taureau de Camargue,0.2885240251391674,4.295192333700074,295.9544627041445,11512.0,455456965.00775564
Tursan,3.5635641986879096,113.9477038425492,180.11969667411822,10670.0,1.067
Valençay,1.4005316606929508,101.41278375149341,97.34194837736963,1674.0,861242.8683915394
Ventoux,4.357629988136304,264.5610905099944,222.86110836086442,21972.0,58972265.94240633
Vin de Corse ou Corse,5.079552818859842,86.71591668334702,170.89160506518516,3537.0,8434504.805874221
Vin de Savoie ou Savoie,8.037670250896058,473.92652329749103,203.34134379816837,1674.0,0.1674
