appellation,pente,altitude,exposition,nb_parcelles
Gaillac premières côtes,3.8587375415282392,195.83139534883722,155.28250830564787,2408
Grand Roussillon,4.488219310492965,119.05133712812803,151.25872086779077,18622
Graves,1.618601730393525,27.830309796260117,143.13388501255932,3583
Graves supérieures,1.618601730393525,27.830309796260117,143.13388501255932,3583
Grignan-les-Adhémar,2.294779135338346,178.54887218045113,200.2617293233083,2128
Gros Plant du Pays Nantais,1.8369785874837334,44.48456169407311,194.059862770614,8453
Haut-Médoc,0.8785885372112916,16.328485885372114,150.06869118905047,1169
Jurançon,6.631436430317849,334.7328850855746,197.64569070904645,1636
La Clape,2.7752534562211983,34.56774193548387,158.3995207373272,1085
Languedoc,3.7585243618655717,108.00725060870971,161.41903855311273,111301
Laudun,3.70675625233296,122.07801418439716,172.12959313176557,2679
Limoux,6.480721609344581,262.66878650227125,187.23144970798185,7705
Luberon,4.093148530579825,292.136298649722,192.13544876886417,6295
Macvin du Jura,4.176485833516363,290.3129804524489,216.49576982209533,4553
Madiran,4.999839970227019,186.53516933382954,147.3576553777447,5374
Malepère,4.175369312948978,178.72075888745624,176.37806778412232,5429
Minervois,2.8351515016882884,105.57397369824062,155.93101786031633,22508
Monbazillac,3.7167450792126737,121.7465194431109,194.16113778204513,2083
Muscadet,2.0904833797706215,58.04658847923281,201.2874768353528,15433
Muscadet Coteaux de la Loire,3.115332020258863,60.296285875070346,197.9580388294879,3554
Muscadet Côtes de Grandlieu,1.4186083022884513,38.69584885577435,178.08374135178286,3758
Muscadet Sèvre et Maine,1.9528888067971923,66.01662356852604,213.48209087550794,8121
Muscat de Rivesaltes,4.488219310492965,119.05133712812803,151.25872086779077,18622
Muscat du Cap Corse,8.26113924050633,84.62658227848101,150.8457594936709,158
Mâcon,5.289859081419625,278.8187195546277,165.4227052887961,17244
Médoc,0.7708743990384614,12.942608173076923,149.49616586538463,3328
Orléans,0.4878585995921142,92.93609789259007,167.65496261046908,1471
Pacherenc du Vic-Bilh,4.999839970227019,186.53516933382954,147.3576553777447,5374
Pauillac,0.8123217922606926,19.95112016293279,134.62696537678207,491
Pessac-Léognan,0.7716620498614958,12.53185595567867,80.27925207756233,361
Petit Chablis,5.679376598465473,206.741368286445,202.07085038363172,6256
Pic Saint-Loup,3.1971482176360224,122.32520325203252,156.69834271419637,1599
Pierrevert,3.443379310344828,338.93793103448274,152.18664655172415,1160
Pouilly-Fumé ou Blanc Fumé de Pouilly,2.4193076923076924,185.6823076923077,196.65296153846154,1300
Pouilly-sur-Loire,2.4193076923076924,185.6823076923077,196.65296153846154,1300
Premières Côtes de Bordeaux,4.757489756307957,73.88009488893681,178.26653655380636,4637
Rasteau,4.656749170706813,201.1023220209237,203.86125031895892,3919
Rivesaltes,3.874703519293878,117.829410433405,150.8034955301573,17674
Rosé d'Anjou,1.9396725380543676,65.82442656778014,180.15309698256527,33439
Rosé de Loire,1.908779793667734,73.34949998023637,180.6117447329934,50598
Roussette de Savoie,6.529287589498806,454.87852028639617,189.134977326969,8380
Roussette du Bugey,6.0911978521272205,314.30565881867,197.19790582403965,2421
Régnié,5.506075407026564,291.7215081405313,145.7948500428449,3501
Sable de Camargue,0.3055891238670695,2.1435045317220545,126.81509063444108,662
Saint-Chinian,6.823691877291144,141.08633995755355,160.81178564537913,10366
Saint-Emilion,2.8149408284023667,47.501775147928996,189.73908284023668,1690
Saint-Emilion grand cru,2.8149408284023667,47.501775147928996,189.73908284023668,1690
Saint-Estèphe,0.9265781710914455,13.705014749262537,161.25141592920355,678
Saint-Joseph,5.206189928719246,252.5311565877213,159.49676017475284,4349
Saint-Mont,4.626414094582064,146.15816664458868,171.97180421247847,7549
Saint-Pourçain,2.264056872037915,276.7042654028436,156.60026856240125,3165
Saint-Sardos,4.0911442362294155,156.16240772288472,166.92513060760933,3522
Sancerre,5.567389482505762,253.28367902786508,170.08296878273623,4773
Saumur,1.6680544112987188,68.95409895432529,177.20956045448372,22091
Saumur-Champigny,2.1438044184535414,54.23814165042235,192.5294866796621,3078
