code_dept,nom_dept,nb_declarations,surf_totale,surf_aop,surf_cognac,surf_igp,surf_vsig,aop_blanc,aop_rouge,aop_rose,aop_vsi,igp_blanc,igp_rouge,igp_rose,vsig_blanc,vsig_rouge,vsig_rose,prod_cognac,total_commercialisable,autre_prod,total_prod,total_blanc,total_rouge,total_rose
41,LOIR-ET-CHER,348.0,6216.206899999999,4497.203999999999,0.0,840.8725000000005,878.1303999999999,120282.62000000008,23196.860000000004,19012.919999999987,90.85,25733.019999999982,4855.19,3985.57,15992.360000000002,4177.790000000001,6287.2,0.0,223614.3800000001,3167.339999999851,226781.72,162008.0000000001,32229.840000000004,29285.689999999988
42,LOIRE,175.0,1099.9823,698.0904000000002,0.0,316.939,84.9529,6531.719999999998,17698.750000000004,498.94,0.0,4659.23,5321.53,1248.48,1009.16,1067.93,421.45,0.0,38457.19,580.8800000000556,39038.07000000005,12200.109999999997,24088.210000000003,2168.87
43,HAUTE-LOIRE,4.0,4.6764,0.0,0.0,0.0,4.6764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75,17.25,0.0,0.0,56.0,0.0,56.0,38.75,17.25,0.0
44,LOIRE-ATLANTIQUE,364.0,9019.851299999991,5821.702199999992,0.0,1496.610499999998,1701.538600000003,137322.95000000004,363.5,1747.4,0.0,46181.55000000001,7291.550000000002,15480.13,35114.250000000015,6246.42,25589.86,0.0,275337.6100000001,5092.329999999842,280429.93999999994,218618.75000000006,13901.470000000001,42817.39
45,LOIRET,19.0,105.1539,80.92649999999999,0.0,12.2407,11.9867,934.29,698.1,215.8,0.0,81.0,12.75,134.85,40.6,143.05,103.98,0.0,2364.42,38.84999999999991,2403.27,1055.8899999999999,853.9000000000001,454.63
46,LOT,280.0,4547.795600000001,2996.5839000000014,0.0,1067.1863999999998,484.0253000000001,0.0,45989.600000000006,999.12,0.0,2521.66,11262.500000000004,6977.16,914.9099999999999,3155.3200000000006,1171.99,0.0,72992.26000000001,1790.5999999999622,74782.85999999999,3436.5699999999997,60407.420000000006,9148.27
47,LOT-ET-GARONNE,408.0,5776.575199999997,3437.7773999999977,34.2175,1632.2425999999984,672.3377000000002,22816.24,61989.27999999996,37197.780000000006,18.11,54935.47,18111.31,18053.619999999995,7603.500000000002,5839.780000000001,4059.59,2166.31,232790.98999999996,4728.210000000167,237519.2000000001,85355.21,85940.36999999997,59310.990000000005
48,LOZERE,6.0,15.8563,0.0,0.0,13.1711,2.6852,0.0,0.0,0.0,0.0,50.88,242.07,29.68,8.5,8.15,1.0,0.0,340.28,6.580000000000041,346.86,59.38,250.22,30.68
49,MAINE-ET-LOIRE,900.0,19565.21180000001,16894.145900000014,0.0,1095.5472999999995,1575.518600000001,311361.7399999999,123905.94999999998,370196.87000000005,15226.94,41382.57,9152.9,11056.64,36050.17999999999,13211.39,33112.37,0.0,964657.5499999998,20479.39999999979,985136.9499999996,388794.4899999999,146270.24,414365.88000000006
50,MANCHE,2.0,0.887,0.0,0.0,0.0,0.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.1,0.0,2.1,2.1,0.0,0.0
51,MARNE,11955.0,22359.986899999963,22359.486899999963,0.0,0.0,0.5,1306157.359999996,30.6,0.0,0.0,0.0,0.0,0.0,1.8,2.8,0.0,0.0,1306192.5599999963,40397.69000000716,1346590.2500000035,1306159.159999996,33.4,0.0
52,HAUTE-MARNE,25.0,102.1524,54.1256,0.0,33.57939999999999,14.447400000000002,2268.19,0.0,0.0,0.0,390.3,253.0,67.5,258.5,10.5,82.8,0.0,3330.79,-26.949999999999815,3303.84,2916.9900000000002,263.5,150.3
53,MAYENNE,3.0,1.7099000000000002,0.0,0.0,0.0,1.7099000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55,1.8,8.5,0.0,35.85,1.949999999999996,37.8,25.55,1.8,8.5
54,MEURTHE-ET-MOSELLE,29.0,118.66459999999998,75.58049999999997,0.0,10.9254,32.15870000000001,859.77,496.1,1091.9799999999998,0.0,244.25,12.5,76.5,380.83,183.57,435.2999999999999,0.0,3780.7999999999993,77.82000000000154,3858.620000000001,1484.85,692.1700000000001,1603.7799999999997
55,MEUSE,7.0,46.2208,0.0,0.0,43.1508,3.0700000000000003,0.0,0.0,0.0,0.0,1398.26,480.36,392.4,59.4,7.8,9.5,0.0,2347.7200000000003,26.14999999999964,2373.87,1457.66,488.16,401.9
56,MORBIHAN,7.0,24.2146,8.5546,0.0,0.0,15.659999999999998,61.0,0.0,0.0,0.0,0.0,0.0,0.0,128.48000000000002,57.6,0.0,0.0,247.08,6.419999999999988,253.5,189.48000000000002,57.6,0.0
57,MOSELLE,25.0,100.2092,67.638,0.0,6.4026000000000005,26.168600000000005,1392.27,536.96,111.5,0.0,228.7,0.0,19.0,571.07,77.57,12.71,0.0,2949.78,6.239999999999782,2956.02,2192.04,614.53,143.21
58,NIEVRE,128.0,1566.3353,1463.9634999999998,0.0,72.62639999999999,29.745400000000004,62951.18000000001,849.6500000000002,262.0,0.0,864.8,287.05,34.25,415.13,42.28,50.0,0.0,65756.34000000001,286.7699999999895,66043.11,64231.11000000001,1178.9800000000002,346.25
59,NORD,8.0,11.0478,0.0,0.0,0.0,11.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.68,0.0,0.3,0.0,169.98000000000002,0.0199999999999818,170.0,169.68,0.0,0.3
60,OISE,3.0,1.4385,0.0,0.0,0.0,1.4385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.53,0.0,0.45,0.0,14.98,0.3400000000000016,15.32,14.53,0.0,0.45
61,ORNE,2.0,0.42,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,1.3,0.0,0.0,11.4,2.1,13.5,10.1,1.3,0.0
62,PAS-DE-CALAIS,17.0,24.5902,0.0,0.0,0.0,24.5902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.9699999999999,0.0,0.0,0.0,568.9699999999999,2.6499999999999773,571.6199999999999,568.9699999999999,0.0,0.0
